"id","associated_table_id:id","code","description","reference"
"catalog_sunat_4_KRW","4","KRW","Won","Corea (del Sur)"
"catalog_sunat_4_KWD","4","KWD","Kuwaiti Dinar","Kuwait"
"catalog_sunat_4_KYD","4","KYD","Cayman Islands Dollar","Islas Caimán"
"catalog_sunat_4_KZT","4","KZT","Tenge","Kazajistán"
"catalog_sunat_4_LAK","4","LAK","Kip","Laos"
"catalog_sunat_4_LBP","4","LBP","Lebanese Pound","Líbano"
"catalog_sunat_4_LKR","4","LKR","Sri Lanka Rupee","Sri Lanka"
"catalog_sunat_4_LRD","4","LRD","Liberian Dollar","Liberia"
"catalog_sunat_4_LSL","4","LSL","Loti","Lesoto"
"catalog_sunat_4_LTL","4","LTL","Lithuanian Litas","Lituania"
"catalog_sunat_4_LVL","4","LVL","Latvian Lats","Letonia"
"catalog_sunat_4_LYD","4","LYD","Libyan Dinar","Libia"
"catalog_sunat_4_MAD","4","MAD","Moroccan Dirham","Marruecos"
"catalog_sunat_4_MDL","4","MDL","Moldovan Leu","Moldavia"
"catalog_sunat_4_MGA","4","MGA","Malagasy Ariary","Madagascar"
"catalog_sunat_4_MKD","4","MKD","Denar","Macedonia"
"catalog_sunat_4_MMK","4","MMK","Kyat","Myanmar (Birmania)"
"catalog_sunat_4_MNT","4","MNT","Tugrik","Mongolia"
"catalog_sunat_4_MOP","4","MOP","Pataca","Macao"
"catalog_sunat_4_MRO","4","MRO","Ouguiya","Mauritania"
"catalog_sunat_4_MUR","4","MUR","Mauritius Rupee","Mauricio"
"catalog_sunat_4_MVR","4","MVR","Rufiyaa","Maldivas"
"catalog_sunat_4_MWK","4","MWK","Kwacha","Malaui"
"catalog_sunat_4_MXN","4","MXN","Mexican Peso","México"
"catalog_sunat_4_MXV","4","MXV","Mexican Unidad de Inversion (UDI)","México"
"catalog_sunat_4_MYR","4","MYR","Malaysian Ringgit","Malasia"
"catalog_sunat_4_MZN","4","MZN","Metical","Mozambique"
"catalog_sunat_4_NAD","4","NAD","Namibia Dollar","Namibia"
"catalog_sunat_4_NGN","4","NGN","Naira","Nigeria"
"catalog_sunat_4_NIO","4","NIO","Cordoba Oro","Nicaragua"
"catalog_sunat_4_NOK","4","NOK","Norwegian Krone","Noruega"
"catalog_sunat_4_NPR","4","NPR","Nepalese Rupee","Nepal"
"catalog_sunat_4_NZD","4","NZD","New Zealand Dollar","Nueva Zelanda"
"catalog_sunat_4_OMR","4","OMR","Rial Omani","Omán"
"catalog_sunat_4_PAB","4","PAB","Balboa","Panamá"
"catalog_sunat_4_PEN","4","PEN","Nuevo Sol o Sol","Perú"
"catalog_sunat_4_PGK","4","PGK","Kina","Papúa Nueva Guinea"
"catalog_sunat_4_PHP","4","PHP","Philippine Peso","Filipinas"
"catalog_sunat_4_PKR","4","PKR","Pakistan Rupee","Pakistán"
"catalog_sunat_4_PLN","4","PLN","Zloty","Polonia"
"catalog_sunat_4_PYG","4","PYG","Guarani","Paraguay"
"catalog_sunat_4_QAR","4","QAR","Qatari Rial","Qatar"
"catalog_sunat_4_RON","4","RON","New Leu","Rumania"
"catalog_sunat_4_RSD","4","RSD","Serbian Dinar","Serbia"
"catalog_sunat_4_RUB","4","RUB","Russian Ruble","Rusia"
"catalog_sunat_4_RWF","4","RWF","Rwanda Franc","Ruanda"
"catalog_sunat_4_SAR","4","SAR","Saudi Riyal","Arabia Saudita"
"catalog_sunat_4_SBD","4","SBD","Solomon Islands Dollar","Islas Salomón"
"catalog_sunat_4_SCR","4","SCR","Seychelles Rupee","Seychelles"
"catalog_sunat_4_SDG","4","SDG","Sudanese Pound","Sudán"
"catalog_sunat_4_SEK","4","SEK","Swedish Krona","Suecia"
"catalog_sunat_4_SGD","4","SGD","Singapore Dollar","Singapur"
"catalog_sunat_4_SHP","4","SHP","Saint Helena Pound","Santa Helena"
"catalog_sunat_4_SLL","4","SLL","Leone","Sierra Leona"
"catalog_sunat_4_SOS","4","SOS","Somali Shilling","Somalia"
"catalog_sunat_4_SRD","4","SRD","Surinam Dollar","Surinam"
"catalog_sunat_4_STD","4","STD","Dobra","Santo Tomé y Príncipe"
"catalog_sunat_4_SVC","4","SVC","El Salvador Colon","El Salvador"
"catalog_sunat_4_SYP","4","SYP","Syrian Pound","Siria"
"catalog_sunat_4_SZL","4","SZL","Lilangeni","Suazilandia"
"catalog_sunat_4_THB","4","THB","Baht","Tailandia"
"catalog_sunat_4_TJS","4","TJS","Somoni","Tayikistán"
"catalog_sunat_4_TMT","4","TMT","Manat","Turkmenistán"
"catalog_sunat_4_TND","4","TND","Tunisian Dinar","Túnez"
"catalog_sunat_4_TOP","4","TOP","Pa'anga","Tonga"
"catalog_sunat_4_TRY","4","TRY","Turkish Lira","Turquía"
"catalog_sunat_4_TTD","4","TTD","Trinidad and Tobago Dollar","Trinidad y Tobago"
"catalog_sunat_4_TWD","4","TWD","New Taiwan Dollar","Taiwán"
"catalog_sunat_4_TZS","4","TZS","Tanzanian Shilling","Tanzania"
"catalog_sunat_4_UAH","4","UAH","Hryvnia","Ucrania"
"catalog_sunat_4_UGX","4","UGX","Uganda Shilling","Uganda"
"catalog_sunat_4_USD","4","USD","US Dollar","Estados Unidos (EEUU)"
"catalog_sunat_4_USN","4","USN","US Dollar (Next day)","Estados Unidos (EEUU)"
"catalog_sunat_4_USS","4","USS","US Dollar (Same day)","Estados Unidos (EEUU)"
"catalog_sunat_4_UYI","4","UYI","Uruguay Peso en Unidades Indexadas","Uruguay"
"catalog_sunat_4_UYU","4","UYU","Peso Uruguayo","Uruguay"
"catalog_sunat_4_UZS","4","UZS","Uzbekistan Sum","Uzbekistán"
"catalog_sunat_4_VEF","4","VEF","Bolivar Fuerte","Venezuela"
"catalog_sunat_4_VND","4","VND","Dong","Vietnam"
"catalog_sunat_4_VUV","4","VUV","Vatu","Vanuatu"
"catalog_sunat_4_WST","4","WST","Tala","Samoa del Oeste"
"catalog_sunat_4_XAF","4","XAF","CFA Franc BEAC ‡","-"
"catalog_sunat_4_XAG","4","XAG","Silver","-"
"catalog_sunat_4_XAU","4","XAU","Gold","-"
"catalog_sunat_4_XBA","4","XBA","Bond Markets Units European Composite Unit (EURCO)","-"
"catalog_sunat_4_XBB","4","XBB","European Monetary Unit (E.M.U.-6)","-"
"catalog_sunat_4_XBC","4","XBC","European Unit of Account 9(E.U.A.-9)","-"
"catalog_sunat_4_XBD","4","XBD","European Unit of Account 17(E.U.A.-17)","-"
"catalog_sunat_4_XCD","4","XCD","East Caribbean Dollar","-"
"catalog_sunat_4_XDR","4","XDR","SDR","-"
"catalog_sunat_4_XFU","4","XFU","UIC-Franc","-"
"catalog_sunat_4_XOF","4","XOF","CFA Franc BCEAO †","-"
"catalog_sunat_4_XPD","4","XPD","Palladium","-"
"catalog_sunat_4_XPF","4","XPF","CFP Franc","-"
"catalog_sunat_4_XPT","4","XPT","Platinum","-"
"catalog_sunat_4_YER","4","YER","Yemeni Rial","Yemen"
"catalog_sunat_4_ZAR","4","ZAR","Rand","Sudáfrica"
"catalog_sunat_4_ZMK","4","ZMK","Zambian Kwacha","Zambia"
"catalog_sunat_4_ZWL","4","ZWL","Zimbabwe Dollar","Zimbabue"
"catalog_sunat_5_01","5","01","MERCADERÍAS",
"catalog_sunat_5_02","5","02","PRODUCTOS TERMINADOS",
"catalog_sunat_5_03","5","03","MATERIAS PRIMAS",
"catalog_sunat_5_04","5","04","ENVASES",
"catalog_sunat_5_05","5","05","MATERIALES AUXILIARES",
"catalog_sunat_5_06","5","06","SUMINISTROS ",
"catalog_sunat_5_07","5","07","REPUESTOS",
"catalog_sunat_5_08","5","08","EMBALAJES",
"catalog_sunat_5_09","5","09","SUBPRODUCTOS ",
"catalog_sunat_5_10","5","10","DESECHOS Y DESPERDICIOS",
"catalog_sunat_5_91","5","91","OTROS 1",
"catalog_sunat_5_92","5","92","OTROS 2",
"catalog_sunat_5_93","5","93","OTROS 3",
"catalog_sunat_5_94","5","94","OTROS 4",
"catalog_sunat_5_95","5","95","OTROS 5",
"catalog_sunat_5_96","5","96","OTROS 6",
"catalog_sunat_5_97","5","97","OTROS 7",
"catalog_sunat_5_98","5","98","OTROS 8",
"catalog_sunat_5_99","5","99","OTROS",
"catalog_sunat_6_4A","6","4A","BOBINAS                                               ",
"catalog_sunat_6_BJ","6","BJ","BALDE                                                 ",
"catalog_sunat_6_BLL","6","BLL","BARRILES                                              ",
"catalog_sunat_6_BG","6","BG","BOLSA                                                 ",
"catalog_sunat_6_BO","6","BO","BOTELLAS                                              ",
"catalog_sunat_6_BX","6","BX","CAJA                                                  ",
"catalog_sunat_6_CT","6","CT","CARTONES                                              ",
"catalog_sunat_6_CMK","6","CMK","CENTIMETRO CUADRADO                                   ",
"catalog_sunat_6_CMQ","6","CMQ","CENTIMETRO CUBICO                                     ",
"catalog_sunat_6_CMT","6","CMT","CENTIMETRO LINEAL                                     ",
"catalog_sunat_6_CEN","6","CEN","CIENTO DE UNIDADES                                    ",
"catalog_sunat_6_CY","6","CY","CILINDRO                                              ",
"catalog_sunat_6_CJ","6","CJ","CONOS                                                 ",
